draw,status,binding_bounds,urea_export
277,OPTIMAL,v2:upper,148.8048891444313
278,OPTIMAL,v2:upper,18.034809262369617
279,OPTIMAL,v2:upper,961.7627986429219
280,OPTIMAL,v2:upper,345.74711704529386
281,OPTIMAL,v2:upper,93.97183738933047
282,OPTIMAL,v1:upper,271.74687242214446
283,OPTIMAL,v2:upper,704.204895317785
284,OPTIMAL,v1:upper,30.20402502075784
285,OPTIMAL,v2:upper,101.99659615651747
286,OPTIMAL,v2:upper,17.935480202288936
287,OPTIMAL,v2:upper,330.9385852854062
288,OPTIMAL,v2:upper,76.73094329996067
289,OPTIMAL,v2:upper,286.2190670108485
290,OPTIMAL,v2:upper,165.30694437825088
291,OPTIMAL,v2:upper,62.30699643090539
292,OPTIMAL,v2:upper,119.96177876167636
293,OPTIMAL,v2:upper,95.77959515641244
294,OPTIMAL,v2:upper,191.8659365956769
295,OPTIMAL,v2:upper,84.84514687945305
296,OPTIMAL,v2:upper,9.343133522977476
297,OPTIMAL,v2:upper,87.72223453652363
298,OPTIMAL,v2:upper,662.1459137614335
299,OPTIMAL,v2:upper,69.61827073036125
300,OPTIMAL,v2:upper,240.14112599494814
301,OPTIMAL,v2:upper,174.01428609882126
302,OPTIMAL,v2:upper,62.19564962986256
303,OPTIMAL,v2:upper,49.652761763302664
304,OPTIMAL,v2:upper,94.13042801187596
305,OPTIMAL,v1:upper,364.975644522479
306,OPTIMAL,v2:upper,113.05885681905394
307,OPTIMAL,v2:upper,273.7824022063681
308,OPTIMAL,v2:upper,27.345146127735113
309,OPTIMAL,v2:upper,58.45867372814456
310,OPTIMAL,v2:upper,269.33398997831205
311,OPTIMAL,v2:upper,131.5900350269444
312,OPTIMAL,v2:upper,533.5457137264989
313,OPTIMAL,v2:upper,107.21004692535493
314,OPTIMAL,v1:upper,292.5675241301872
315,OPTIMAL,v2:upper,96.30568262228441
316,OPTIMAL,v2:upper,62.160011726694925
317,OPTIMAL,v2:upper,289.4368946460346
318,OPTIMAL,v2:upper,12.994721041581448
319,OPTIMAL,v2:upper,141.59300593731217
320,OPTIMAL,v2:upper,329.8684947606774
321,OPTIMAL,v2:upper,277.51161148727994
322,OPTIMAL,v2:upper,61.404936824338606
323,OPTIMAL,v2:upper,318.82947680432284
324,OPTIMAL,v2:upper,68.28357713160156
325,OPTIMAL,v2:upper,275.91202099976186
326,OPTIMAL,v2:upper,137.67371090172907
327,OPTIMAL,v1:upper,50.34718995545184
328,OPTIMAL,v1:upper,55.906348845293145
329,OPTIMAL,v2:upper,102.73094511232193
330,OPTIMAL,v2:upper,43.70121582223261
331,OPTIMAL,v1:upper,85.90095581741556
332,OPTIMAL,v2:upper,170.06872391138012
333,OPTIMAL,v2:upper,198.30197574503666
334,OPTIMAL,v1:upper,202.55044259557675
335,OPTIMAL,v2:upper,28.338201754353776
336,OPTIMAL,v2:upper,126.21036057620216
337,OPTIMAL,v2:upper,102.98595180162239
338,OPTIMAL,v2:upper,174.4314661232313
339,OPTIMAL,v1:upper,225.77086674831423
340,OPTIMAL,v1:upper,401.6143359887708
341,OPTIMAL,v1:upper,127.37928314901025
342,OPTIMAL,v2:upper,130.13609791567632
343,OPTIMAL,v2:upper,18.63435559967138
344,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
345,OPTIMAL,v2:upper,51.71903448631192
346,OPTIMAL,v2:upper,94.78175283349637
347,OPTIMAL,v2:upper,214.30771385453042
348,OPTIMAL,v2:upper,183.14123412981192
349,OPTIMAL,v2:upper,156.26490853079264
350,OPTIMAL,v2:upper,182.21300481478494
351,OPTIMAL,v2:upper,32.895577907316486
352,OPTIMAL,v2:upper,330.9828966129001
353,OPTIMAL,v2:upper,147.35494915443192
354,OPTIMAL,v2:upper,208.0258469932363
355,OPTIMAL,v2:upper,57.39462067411406
356,OPTIMAL,v2:upper,259.1740471972178
357,OPTIMAL,v2:upper,83.3966248329532
358,OPTIMAL,v2:upper,276.4357240856074
359,OPTIMAL,v2:upper,5.227590163450096
360,OPTIMAL,v2:upper,19.490295013188074
361,OPTIMAL,v2:upper,106.96022832698603
362,OPTIMAL,v2:upper,127.60425684579405
363,OPTIMAL,v2:upper,127.43558319686215
364,OPTIMAL,v2:upper,85.8352010142418
365,OPTIMAL,v2:upper,40.26464181593652
366,OPTIMAL,v2:upper,233.71521172832556
367,OPTIMAL,v2:upper,19.068072348852713
368,OPTIMAL,v1:upper,54.05376909426204
369,OPTIMAL,v1:upper,125.11442724257739
370,OPTIMAL,v1:upper,173.45142510455096
371,OPTIMAL,v1:upper,153.08519347994874
372,OPTIMAL,v2:upper,97.59076068131469
373,OPTIMAL,v2:upper,234.96631011743466
374,OPTIMAL,v2:upper,190.91371314550221
375,OPTIMAL,v2:upper,150.3505100804211
376,OPTIMAL,v2:upper,51.54042839703976
377,OPTIMAL,v1:upper,46.85552698860382
378,OPTIMAL,v2:upper,326.02043817476834
379,OPTIMAL,v2:upper,188.7659194945376
380,OPTIMAL,v2:upper,35.93274096059087
381,OPTIMAL,v2:upper,53.53211397712377
382,OPTIMAL,v1:upper,150.29603800602666
383,OPTIMAL,v2:upper,93.4946262415574
384,OPTIMAL,v1:upper,189.78970681567512
385,OPTIMAL,v2:upper,16.288502595681717
386,OPTIMAL,v1:upper,189.276634831488
387,OPTIMAL,v2:upper,62.94145763244766
388,OPTIMAL,v2:upper,129.4986810749511
389,OPTIMAL,v2:upper,714.4199645422772
390,OPTIMAL,v2:upper,46.49821364686621
391,OPTIMAL,v1:upper,267.11703697105685
392,OPTIMAL,v2:upper,17.662051158484154
393,OPTIMAL,v2:upper,103.24490595341398
394,OPTIMAL,v2:upper,78.05863463651224
395,OPTIMAL,v2:upper,298.29209810112013
396,OPTIMAL,v2:upper,59.11795791275719
397,OPTIMAL,v2:upper,192.11207575481265
398,OPTIMAL,v2:upper,219.7008772021895
399,OPTIMAL,v2:upper,18.31339720489452
400,OPTIMAL,v2:upper,601.6029583541876
401,OPTIMAL,v2:upper,163.8746314599324
402,OPTIMAL,v2:upper,493.4991699984382
403,OPTIMAL,v2:upper,168.46884504168344
404,OPTIMAL,v2:upper,250.68433030471468
405,OPTIMAL,v2:upper,35.665152626736436
406,OPTIMAL,v2:upper,527.1728316514212
407,OPTIMAL,v2:upper,17.597262513040864
408,OPTIMAL,v2:upper,161.36544799203165
409,OPTIMAL,v2:upper,216.1341111283332
410,OPTIMAL,v2:upper,69.29582270848675
411,OPTIMAL,v2:upper,36.25631816034607
412,OPTIMAL,v2:upper,21.49532221391759
413,OPTIMAL,v2:upper,107.77099936944296
414,OPTIMAL,v2:upper,348.8398262933737
415,OPTIMAL,v2:upper,111.94318761816629
416,OPTIMAL,v2:upper,118.58953246544355
417,OPTIMAL,v2:upper,125.54476130113139
418,OPTIMAL,v2:upper,80.55583429749227
419,OPTIMAL,v1:upper,42.72084305384795
420,OPTIMAL,v1:upper,380.7686097863145
421,OPTIMAL,v2:upper,79.69667207359232
422,OPTIMAL,v2:upper,152.6373461499039
423,OPTIMAL,v2:upper,35.369572244526594
424,OPTIMAL,v2:upper,583.8354540482272
425,OPTIMAL,v2:upper,68.47183581084597
426,OPTIMAL,v2:upper,84.79132180059958
427,OPTIMAL,v1:upper,106.66875170172072
428,OPTIMAL,v2:upper,96.56622759447048
429,OPTIMAL,v2:upper,64.70084239522144
430,OPTIMAL,v2:upper,37.222073967244526
